PUBMED_ID,Abstract,Keyword
31622130,"Therapeutic radiation in childhood cancer has decreased over time with a concomitant increase in chemotherapy. Limited data exist on chemotherapy-associated subsequent malignant neoplasm (SMN) risk."", ""SMNs occurring > 5 years from diagnosis, excluding nonmelanoma skin cancers, were evaluated in survivors diagnosed when they were < 21 years old, from 1970 to 1999 in the Childhood Cancer Survivor Study (median age at diagnosis, 7.0 years; median age at last follow-up, 31.8 years). Thirty-year SMN cumulative incidence and standardized incidence ratios (SIRs) were estimated by treatment: chemotherapy-only (n = 7,448), chemotherapy plus radiation (n = 10,485), radiation only (n = 2,063), or neither (n = 2,158). Multivariable models were used to assess chemotherapy-associated SMN risk, including dose-response relationships."", ""Of 1,498 SMNs among 1,344 survivors, 229 occurred among 206 survivors treated with chemotherapy only. Thirty-year SMN cumulative incidence was 3.9%, 9.0%, 10.8%, and 3.4% for the chemotherapy-only, chemotherapy plus radiation, radiation-only, or neither-treatment groups, respectively. Chemotherapy-only survivors had a 2.8-fold increased SMN risk compared with the general population (95% CI, 2.5 to 3.2), with SIRs increased for subsequent leukemia/lymphoma (1.9; 95% CI, 1.3 to 2.7), breast cancer (4.6; 95% CI, 3.5 to 6.0), soft-tissue sarcoma (3.4; 95% CI, 1.9 to 5.7), thyroid cancer (3.8; 95% CI, 2.7 to 5.1), and melanoma (2.3; 95% CI, 1.5 to 3.5). SMN rate was associated with > 750 mg/m<sup>2</sup> platinum (relative rate [RR] 2.7; 95% CI, 1.1 to 6.5), and a dose response was observed between alkylating agents and SMN rate (RR, 1.2/5,000 mg/m<sup>2</sup>; 95% CI, 1.1 to 1.3). A linear dose response was also demonstrated between anthracyclines and breast cancer rate (RR, 1.3/100 mg/m<sup>2</sup>; 95% CI, 1.2 to 1.6)."", ""Childhood cancer survivors treated with chemotherapy only, particularly higher cumulative doses of platinum and alkylating agents, face increased SMN risk. Linear dose responses were seen between alkylating agents and SMN rates and between anthracyclines and breast cancer rates. Limiting cumulative doses and consideration of alternate chemotherapies may reduce SMN risk.",Cancer
32682319,"The aim of the study was to characterize subsequent neoplasm (SN) (malignant (SMN), benign (BSNs), and non-melanoma skin cancer (NMSC)) treated previously for a childhood solid malignant tumor at the Department of Pediatric Hematology and Oncology, Motol University Hospital, Prague."", ""We evaluated a cohort of 4059 childhood cancer survivors treated between 1975 and 2018."", ""From 4059 survivors, 170 (4.3 %) developed at least one SMN - 193 SMNs in 170 survivors, 21 of them (0.5 % of all survivors) had two or more SMNs and 34 of them (0.8 %) had one SMN and one or more BSNs. Mortality for an SMN was 38.2 % i.e. 1.6 % of all survivors. The most frequent SMNs were thyroid carcinoma (37, 19.2 %), tumors of the central nervous system (25, 13.0 %), soft tissue sarcoma (23, 11.9 %), breast carcinoma (19, 9.8 %), and leukemia (11, 5.7 %). Genetic syndromes were present in 25 patients with SMNs (14.7 %) and in 16 patients with only BSNs (13.4 %). SMNs usually developed in second decade or later after finishing of therapy. We observed some not well known risk factors of SNs e.g. spinal irradiation or<sup>131-</sup>I metaiodobenzylguanidine radiotherapy in 2 cases of secondary thyroid cancer, cyclophosphamide therapy in all 8 cases of secondary urinary bladder sarcoma or 4 from 7 SNMSC developed SMN."", ""We confirmed data from previous studies of SNs and observed some not so well known risk factors. Our results and the literature show that the incidence of SMNs is 3-10 % of survivors and is associated with high mortality.",Cancer
32142393,"To evaluate childhood cancer survivors' adherence to surveillance protocols for late effects of treatment and to determine the factors affecting adherence."", ""Between 2014 and 2016, 11,337 survivors and 2,146 siblings in the Childhood Cancer Survivor Study completed a survey ascertaining adherence to Children's Oncology Group (COG) guidelines for survivors at high risk for second malignant neoplasms or cardiac dysfunction and to the American Cancer Society (ACS) cancer screening guidelines for average-risk populations. Adherence rates and factors affecting adherence were analyzed."", ""Median age at diagnosis was 7 years (range, 0-20.9 years), and median time from diagnosis was 29 years (range, 15-47 years). Among high-risk survivors, adherence to COG breast, colorectal, skin, and cardiac surveillance was 12.6% (95% CI, 10.0% to 15.3%), 37.0% (34.1% to 39.9%), 22.3% (21.2% to 23.4%), and 41.4% (40.1% to 42.7%), respectively. Among average-risk survivors, adherence to ACS breast, cervical, and colorectal screening was 57.1% (53.2% to 61.0%), 83.6% (82.7% to 84.5%), and 68.5% (64.7% to 72.2%), respectively. Twenty-seven percent of survivors and 20.0% of primary care providers (PCPs) had a survivorship care plan (SCP). For high-risk survivors, SCP possession was associated with increased adherence to COG breast (22.3% <i>v</i>. 8.1%; prevalence ratio [PR], 2.52; CI, 1.59 to 4.01), skin (34.8% <i>v</i> 23.0%; PR, 1.16; CI, 1.01 to 1.33), and cardiac (67.0% <i>v</i> 33.1%; PR, 1.73; CI, 1.55 to 1.92) surveillance. For high-risk survivors, PCP possession of a SCP was associated only with increased adherence to COG skin cancer surveillance (36.9% <i>v</i> 23.2%; PR, 1.24; CI, 1.08 to 1.43)."", ""Guideline adherence is suboptimal. Although survivor SCP possession is associated with better adherence, few survivors and PCPs have one. New strategies to improve adherence are needed.",Cancer
32469081,"Birth defects are established risk factors for childhood cancer. Nonetheless, cancer epidemiology in children with birth defects is not well characterized."", ""Using data from population-based registries in 4 US states, this study compared children with cancer but no birth defects (n\u00a0=\u00a013,111) with children with cancer and 1 or more nonsyndromic birth defects (n\u00a0=\u00a01616). The objective was to evaluate cancer diagnostic characteristics, including tumor type, age at diagnosis, and stage at diagnosis."", ""Compared with the general population of children with cancer, children with birth defects were diagnosed with more embryonal tumors (26.6% vs 18.7%; q\u00a0<\u00a00.001), including neuroblastoma (12.5% vs 8.2%; q\u00a0<\u00a00.001) and hepatoblastoma (5.0% vs 1.3%; q\u00a0<\u00a00.001), but fewer hematologic malignancies, including acute lymphoblastic leukemia (12.4% vs 24.4%; q\u00a0<\u00a00.001). In age-stratified analyses, differences in tumor type were evident among children younger than 1\u00a0year and children 1 to 4\u00a0years old, but they were attenuated among children 5 years of age or older. The age at diagnosis was younger in children with birth defects for most cancers, including leukemia, lymphoma, astrocytoma, medulloblastoma, ependymoma, embryonal tumors, and germ cell tumors (all q\u00a0<\u00a00.05)."", ""The results indicate possible etiologic heterogeneity in children with birth defects, have implications for future surveillance efforts, and raise the possibility of differential cancer ascertainment in children with birth defects."", ""Scientific studies suggest that children with birth defects are at increased risk for cancer. However, these studies have not been able to determine whether important tumor characteristics, such as the type of tumor diagnosed, the age at which the tumor is diagnosed, and the degree to which the tumor has spread at the time of diagnosis, are different for children with birth defects and children without birth defects. This study attempts to answer these important questions. By doing so, it may help scientists and physicians to understand the causes of cancer in children with birth defects and diagnose cancer at earlier stages when it is more treatable.",Cancer
31337641,"Obesity is a known modifiable risk factor associated with adverse outcomes in children with cancer. We sought to determine whether obesity during childhood cancer treatment increases risk for second malignant neoplasms (SMN)."", ""In this case-control study, cases (with SMN) and controls (with a single-primary cancer) were selected from the California Cancer Registry who had primary cancer diagnosed <21 years treated at Children's Hospital Los Angeles between 1988 and 2014. Controls were matched 3:1 to cases at the registry level by clinical factors. Medical records were abstracted for cancer treatment exposures, cancer predisposition syndrome, body mass index (BMI), BMI Z-score, and BMI category at diagnosis and end of therapy (EOT)."", ""A total of 59 cases and 130 controls were included. Median age at primary cancer diagnosis was 6 years, 64.5% were male, median time from primary cancer to SMN was 7.5 years, and 31.7% were obese or overweight. In matched multivariable analyses, there were elevated but nonsignificant associations between SMN and higher BMI Z-score at diagnosis [OR 1.27 (0.99-1.63)] and higher BMI categories at diagnosis [adjusted OR (aOR) overweight, 1.25 (0.55-2.52); aOR obese, 2.51 (1.00-6.29)]. There was a significantly increased risk for SMN among patients who were obese at both diagnosis and EOT [aOR, 4.44 (1.37-14.34)]."", ""This study suggests that obesity during childhood cancer treatment may be associated with increased risk for SMNs, particularly among those obese throughout therapy."", ""Additional studies to confirm these findings and to develop interventions have the potential to impact SMN development in children with cancer.",Cancer
32306711,"Regular surveillance colonoscopy after colon cancer resection is recommended for detecting metachronous adenoma and cancer. However, risk factors for metachronous neoplasms have not been fully evaluated. We aimed to assess risk factors for advanced metachronous neoplasms during surveillance colonoscopy after colon cancer resection."", ""Patients who underwent curative colectomy for nonmetastatic colon cancer between January 2002 and December 2012 were evaluated and followed up to December 2017."", ""A total of 293 patients were enrolled in this study. Among these, 179 (61.1%) were male, and the mean age was 63.2 \u00b1 10.4 years. On perioperative clearing colonoscopy, synchronous high-risk adenomas (number \u2265 3, size \u2265 10 mm, high-grade dysplasia, villous histology, and serrated adenoma \u2265 10 mm) were detected in 95 patients (32.4%), and they were significantly associated with male sex, old age (\u2265 65 years), current alcohol consumption, and current smoking (p < 0.05). During the follow-up period (mean 74.4 \u00b1 36.4 months), advanced metachronous neoplasms were found in 45 patients (15.4%), including metachronous cancer in four (1.4%). In multivariate analysis, distal colon cancer (distal-to-splenic flexure; odds ratio [OR], 4.402; 95% confidence interval [CI], 1.658 to 11.689; p = 0.003), synchronous highrisk adenomas (OR, 3.225; 95% CI, 1.503 to 6.918; p = 0.003), and hypertension (OR, 2.270; 95% CI, 1.058 to 4.874; p = 0.035) were significant risk factors for advanced metachronous neoplasms."", ""During surveillance after curative colon cancer resection, patients with distal colon cancer, synchronous high-risk adenomas, and hypertension may need meticulous follow-up to improve overall outcomes.",Cancer
33416884,"Radiotherapy is a common treatment for rectal cancer, yet the risk of second gynecological malignant neoplasms (SGMNs) in patients with rectal cancer undergoing radiotherapy have not been adequately studied."", ""To investigate the association between radiotherapy and the risk of individual types of SGMN in patients with rectal cancer and assess survival outcomes."", ""A large population-based cohort study was designed to identify the risk of SGMNs in patients with rectal cancer diagnosed from January 1973 to December 2015. The statistical analysis was conducted from September 2019 to April 2020. The study was based on the 9 cancer registries of Surveillance, Epidemiology, and End Results database. A total of 20\u202f142 female patients with rectal cancer in localized and regional stage were included."", ""Receipt of neoadjuvant radiotherapy for rectal cancer."", ""The development of an SGMN defined as any type of GMN occurring more than 5 years after the diagnosis of rectal cancer. The cumulative incidence of SGMNs was estimated by Fine-Gray competing risk regression. Poisson regression was used to evaluate the radiotherapy-associated risk for SGMNs in patients undergoing radiotherapy vs patients not undergoing radiotherapy. The Kaplan-Meier method was used to assess the survival outcomes of patients with SGMNs."", ""Of 20\u202f142 patients, 16\u202f802 patients (83.4%) were White and the median age was 65 years (interquartile range, 54-74 years). A total of 5310 (34.3%) patients were treated with surgery and radiotherapy, and 14\u202f832 (65.7%) patients were treated with surgery alone. The cumulative incidence of SGMNs during 30 years of follow-up was 4.53% among patients who received radiotherapy and 1.53% among patients who did not. In competing risk regression analysis, undergoing radiotherapy was associated with a higher risk of developing cancer of the uterine corpus (adjusted hazard ratio, 3.06; 95% CI, 2.14-4.37; P\u2009<\u2009.001) and ovarian cancer (adjusted hazard ratio, 2.08; 95% CI, 1.22-3.56; P\u2009=\u2009.007) compared with those who did not receive radiotherapy. The dynamic radiotherapy-associated risks (RR) for cancer of the uterine corpus significantly increased with increasing age at rectal cancer diagnosis (aged 20-49 years: adjusted RR, 0.79; 95% CI, 0.35-1.79; P\u2009=\u2009.57; aged 50-69 years: adjusted RR, 3.74; 95% CI, 2.63-5.32; P\u2009<\u2009.001; aged \u226570 years: adjusted RR, 5.13; 95% CI, 2.64-9.97; P\u2009<\u2009.001) and decreased with increasing latency since rectal cancer diagnosis (60-119 months: adjusted RR, 3.22; 95% CI, 2.12-4.87; P\u2009<\u2009.001; 120-239 months: adjusted RR, 2.72; 95% CI, 1.75-4.24; P\u2009<\u2009.001; 240-360 months: adjusted RR, 1.95; 95% CI, 0.67-5.66; P\u2009=\u2009.22), but the dynamic RR for ovarian cancer increased with increasing latency since rectal cancer diagnosis (60-119 months: adjusted RR, 0.70; 95% CI, 0.26-1.89; P\u2009=\u2009.48; 120-239 months: adjusted RR, 2.26; 95% CI, 1.09-4.70; P\u2009=\u2009.03; 240-360 months: adjusted RR, 11.84; 95% CI, 2.18-64.33; P\u2009=\u2009.004). The 10-year overall survival among patients with radiotherapy-associated cancer of the uterine corpus was significantly lower than that among matched patients with primary cancer of the uterine corpus (21.5% vs 33.6%; P\u2009=\u2009.01)."", ""Radiotherapy for rectal cancer was associated with an increased risk of cancer of the uterine corpus and ovarian cancer. Special attention should be paid to reduce radiotherapy-associated SGMNs and improve their prognosis.",Cancer
33845037,"Exposure to cranial radiotherapy is associated with an increased risk of subsequent CNS neoplasms among childhood, adolescent, and young adult (CAYA) cancer survivors. Surveillance for subsequent neoplasms can translate into early diagnoses and interventions that could improve cancer survivors' health and quality of life. The practice guideline presented here by the International Late Effects of Childhood Cancer Guideline Harmonization Group was developed with an evidence-based method that entailed the gathering and appraisal of published evidence associated with subsequent CNS neoplasms among CAYA cancer survivors. The preparation of these guidelines showed a paucity of high-quality evidence and highlighted the need for additional research to inform survivorship care. The recommendations are based on careful consideration of the evidence supporting the benefits, risks, and harms of the surveillance interventions, clinical judgment regarding individual patient circumstances, and the need to maintain flexibility of application across different health-care systems. Currently, there is insufficient evidence to establish whether early detection of subsequent CNS neoplasms reduces morbidity and mortality, and therefore no recommendation can be formulated for or against routine MRI surveillance. The decision to start surveillance should be made by the CAYA cancer survivor and health-care provider after careful consideration of the potential harms and benefits of surveillance for CNS neoplasms, including meningioma.",Cancer
32496904,"To investigate cancer treatment plus pathogenic germline mutations (PGMs) in DNA repair genes (DRGs) for identification of childhood cancer survivors at increased risk of subsequent neoplasms (SNs)."", ""Whole-genome sequencing was performed on blood-derived DNA from survivors in the St Jude Lifetime Cohort. PGMs were evaluated in 127 genes from 6 major DNA repair pathways. Cumulative doses of chemotherapy and body region-specific radiotherapy (RT) were abstracted from medical records. Relative rates (RRs) and 95% CIs of SNs by mutation status were estimated using multivariable piecewise exponential models."", ""Of 4,402 survivors, 495 (11.2%) developed 1,269 SNs. We identified 538 PGMs in 98 DRGs (<i>POLG</i>, <i>MUTYH</i>, <i>ERCC2</i>, and <i>BRCA2</i>, among others) in 508 (11.5%) survivors. Mutations in homologous recombination (HR) genes were significantly associated with an increased rate of subsequent female breast cancer (RR, 3.7; 95% CI, 1.8 to 7.7), especially among survivors with chest RT \u2265 20 Gy (RR, 4.4; 95% CI, 1.6 to 12.4), or with a cumulative dose of anthracyclines in the second or third tertile (RR, 4.4; 95% CI, 1.7 to 11.4). Mutations in HR genes were also associated with an increased rate of subsequent sarcoma among those who received alkylating agent doses in the third tertile (RR, 14.9; 95% CI, 4.0 to 38.0). Mutations in nucleotide excision repair genes were associated with subsequent thyroid cancer for those treated with neck RT \u2265 30 Gy (RR, 12.9; 95% CI, 1.6 to 46.6) with marginal statistical significance."", ""Our study provides novel insights regarding the contribution of genetics, in combination with known treatment-related risks, for the development of SNs. These findings have the potential to facilitate identification of high-risk survivors who may benefit from genetic counseling and/or testing of DRGs, which may further inform personalized cancer surveillance and prevention strategies.",Cancer
32279022,"Long-term childhood and young adult cancer survivors are at increased risk of the late effects of multiple chronic conditions. In this study we estimate the cumulative burden of subsequent malignant neoplasms (SMN), cardiovascular and respiratory hospitalisations in long-term survivors of childhood and young adult cancers and associated treatment risks."", ""Five-year survivors of cancer diagnosed aged 0-29 years between 1992-2009 in Yorkshire, UK were included. The cumulative count of all hospital admissions (including readmissions) for cardiovascular and respiratory conditions and all SMNs diagnosed up to 2015 was calculated, with death as a competing risk. Associations between treatment exposures and cumulative burden were investigated using multiple-failure time survival models."", ""A total of 3464 5-year survivors were included with a median follow-up of 8.2 years (IQR 4-13 years). Ten-years post diagnosis, the cumulative incidence for a respiratory admission was 6.0 % (95 %CI 5.2-6.9), a cardiovascular admission was 2.0 % (95 %CI 1.5-2.5), and SMN was 1.0 % (95 % CI 0.7-1.4) with an average of 13 events per 100 survivors observed (95 %CI 11-15). The risk of experiencing multiple events was higher for those treated with chemotherapy drugs with known lung toxicity (HR = 1.35, 95 %CI 1.09-1.68)."", ""Survivors of childhood and young adult cancer experience a high burden of morbidity due to respiratory, cardiovascular diseases and SMNs up to 20-years post-diagnosis. Statistical methods that capture multiple morbidities and recurrent events are important when quantifying the burden of late effects in young cancer survivors.",Cancer
